11:10:26.690  INFO   core.log_setup  Tryb verbose — pełne logowanie aktywne
15:10:35.565  WARNING  core.session_runner  SessionRunner: rclone nie skonfigurowany — pomijam sync
15:18:24.827  WARNING  core.session_runner  SessionRunner: rclone nie skonfigurowany — pomijam sync
15:30:14.442  ERROR  core.camera_card_browser  CameraCardBrowser: [-53] Could not claim the USB device
15:30:37.734  WARNING  core.camera_card_browser  Błąd pobierania IMG_3960.JPG: [-1] Unspecified error
15:30:37.967  WARNING  core.camera_card_browser  Błąd pobierania IMG_3961.JPG: [-1] Unspecified error
15:30:38.180  WARNING  core.camera_card_browser  Błąd pobierania IMG_3962.JPG: [-1] Unspecified error
15:30:38.369  WARNING  core.camera_card_browser  Błąd pobierania IMG_3963.JPG: [-1] Unspecified error
15:30:38.570  WARNING  core.camera_card_browser  Błąd pobierania IMG_3964.JPG: [-1] Unspecified error
15:30:38.763  WARNING  core.camera_card_browser  Błąd pobierania IMG_3965.JPG: [-1] Unspecified error
15:30:38.972  WARNING  core.camera_card_browser  Błąd pobierania IMG_3966.JPG: [-1] Unspecified error
15:30:39.198  WARNING  core.camera_card_browser  Błąd pobierania IMG_3967.JPG: [-1] Unspecified error
15:30:39.402  WARNING  core.camera_card_browser  Błąd pobierania IMG_3968.JPG: [-1] Unspecified error
15:30:39.609  WARNING  core.camera_card_browser  Błąd pobierania IMG_3969.JPG: [-1] Unspecified error
15:30:39.816  WARNING  core.camera_card_browser  Błąd pobierania IMG_3970.JPG: [-1] Unspecified error
15:30:40.069  WARNING  core.camera_card_browser  Błąd pobierania IMG_3971.JPG: [-1] Unspecified error
15:30:40.455  WARNING  core.camera_card_browser  Błąd pobierania IMG_3972.JPG: [-1] Unspecified error
15:30:40.649  WARNING  core.camera_card_browser  Błąd pobierania IMG_3973.JPG: [-1] Unspecified error
15:30:40.842  WARNING  core.camera_card_browser  Błąd pobierania IMG_3974.JPG: [-1] Unspecified error
15:30:41.033  WARNING  core.camera_card_browser  Błąd pobierania IMG_3975.JPG: [-1] Unspecified error
15:30:41.231  WARNING  core.camera_card_browser  Błąd pobierania IMG_3976.JPG: [-1] Unspecified error
15:30:41.416  WARNING  core.camera_card_browser  Błąd pobierania IMG_3977.JPG: [-1] Unspecified error
15:30:41.706  WARNING  core.camera_card_browser  Błąd pobierania IMG_3978.JPG: [-1] Unspecified error
15:30:41.900  WARNING  core.camera_card_browser  Błąd pobierania IMG_3979.JPG: [-1] Unspecified error
15:30:42.094  WARNING  core.camera_card_browser  Błąd pobierania IMG_3980.JPG: [-1] Unspecified error
15:30:42.299  WARNING  core.camera_card_browser  Błąd pobierania IMG_3981.JPG: [-1] Unspecified error
15:30:42.502  WARNING  core.camera_card_browser  Błąd pobierania IMG_3982.JPG: [-1] Unspecified error
15:30:42.686  WARNING  core.camera_card_browser  Błąd pobierania IMG_3983.JPG: [-1] Unspecified error
15:30:42.881  WARNING  core.camera_card_browser  Błąd pobierania IMG_3984.JPG: [-1] Unspecified error
15:30:43.079  WARNING  core.camera_card_browser  Błąd pobierania IMG_3985.JPG: [-1] Unspecified error
15:30:43.267  WARNING  core.camera_card_browser  Błąd pobierania IMG_3986.JPG: [-1] Unspecified error
15:48:47.318  WARNING  core.session_runner  SessionRunner: rclone nie skonfigurowany — pomijam sync
15:52:03.487  WARNING  core.session_runner  SessionRunner: rclone nie skonfigurowany — pomijam sync
15:53:01.129  WARNING  core.session_runner  SessionRunner: rclone nie skonfigurowany — pomijam sync
15:55:51.188  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
12:04:20.376  WARNING  core.camera_probe  CameraProbe connect error: -53
12:04:22.312  WARNING  core.camera_probe  CameraProbe connect error: -53
12:04:22.437  WARNING  core.camera_probe  CameraProbe connect error: -53
12:04:24.309  WARNING  core.camera_probe  CameraProbe connect error: -53
12:04:26.310  WARNING  core.camera_probe  CameraProbe connect error: -53
12:04:28.314  WARNING  core.camera_probe  CameraProbe connect error: -53
12:04:30.319  WARNING  core.camera_probe  CameraProbe connect error: -53
12:04:30.955  WARNING  core.camera_probe  CameraProbe connect error: -53
12:04:32.926  WARNING  core.camera_probe  CameraProbe connect error: -53
12:04:34.879  WARNING  core.camera_probe  CameraProbe connect error: -53
12:04:35.750  WARNING  core.camera_card_browser  Błąd pobierania IMG_3867.CR3: [-7] I/O problem
12:04:35.823  WARNING  core.camera_card_browser  Błąd pobierania IMG_3867.JPG: [-2] Bad parameters
12:04:35.887  WARNING  core.camera_card_browser  Błąd pobierania IMG_3868.JPG: [-2] Bad parameters
12:04:35.907  WARNING  core.camera_card_browser  Błąd pobierania IMG_3869.JPG: [-2] Bad parameters
12:04:35.928  WARNING  core.camera_card_browser  Błąd pobierania IMG_3870.JPG: [-2] Bad parameters
12:04:35.948  WARNING  core.camera_card_browser  Błąd pobierania IMG_3871.JPG: [-2] Bad parameters
12:04:35.969  WARNING  core.camera_card_browser  Błąd pobierania IMG_3872.CR3: [-2] Bad parameters
12:04:35.989  WARNING  core.camera_card_browser  Błąd pobierania IMG_3873.JPG: [-2] Bad parameters
12:04:36.010  WARNING  core.camera_card_browser  Błąd pobierania IMG_3874.JPG: [-2] Bad parameters
12:04:36.030  WARNING  core.camera_card_browser  Błąd pobierania IMG_3875.JPG: [-2] Bad parameters
12:04:36.051  WARNING  core.camera_card_browser  Błąd pobierania IMG_3876.JPG: [-2] Bad parameters
12:04:36.072  WARNING  core.camera_card_browser  Błąd pobierania IMG_3877.JPG: [-2] Bad parameters
12:04:36.093  WARNING  core.camera_card_browser  Błąd pobierania IMG_3878.JPG: [-2] Bad parameters
12:04:36.114  WARNING  core.camera_card_browser  Błąd pobierania IMG_3879.JPG: [-2] Bad parameters
12:04:36.136  WARNING  core.camera_card_browser  Błąd pobierania IMG_3880.JPG: [-2] Bad parameters
12:04:36.156  WARNING  core.camera_card_browser  Błąd pobierania IMG_3881.JPG: [-2] Bad parameters
12:04:36.177  WARNING  core.camera_card_browser  Błąd pobierania IMG_3882.JPG: [-2] Bad parameters
12:04:36.198  WARNING  core.camera_card_browser  Błąd pobierania IMG_3883.JPG: [-2] Bad parameters
12:04:36.219  WARNING  core.camera_card_browser  Błąd pobierania IMG_3884.JPG: [-2] Bad parameters
12:04:36.239  WARNING  core.camera_card_browser  Błąd pobierania IMG_3885.JPG: [-2] Bad parameters
12:04:36.260  WARNING  core.camera_card_browser  Błąd pobierania IMG_3886.JPG: [-2] Bad parameters
12:04:36.280  WARNING  core.camera_card_browser  Błąd pobierania IMG_3887.JPG: [-2] Bad parameters
12:04:36.301  WARNING  core.camera_card_browser  Błąd pobierania IMG_3888.JPG: [-2] Bad parameters
12:04:36.321  WARNING  core.camera_card_browser  Błąd pobierania IMG_3889.JPG: [-2] Bad parameters
12:04:36.342  WARNING  core.camera_card_browser  Błąd pobierania IMG_3890.JPG: [-2] Bad parameters
12:04:36.362  WARNING  core.camera_card_browser  Błąd pobierania IMG_3891.JPG: [-2] Bad parameters
12:04:36.383  WARNING  core.camera_card_browser  Błąd pobierania IMG_3892.JPG: [-2] Bad parameters
12:04:36.403  WARNING  core.camera_card_browser  Błąd pobierania IMG_3893.JPG: [-2] Bad parameters
12:04:36.424  WARNING  core.camera_card_browser  Błąd pobierania IMG_3894.JPG: [-2] Bad parameters
12:04:36.444  WARNING  core.camera_card_browser  Błąd pobierania IMG_3895.JPG: [-2] Bad parameters
12:04:36.465  WARNING  core.camera_card_browser  Błąd pobierania IMG_3896.JPG: [-2] Bad parameters
12:04:36.486  WARNING  core.camera_card_browser  Błąd pobierania IMG_3897.JPG: [-2] Bad parameters
12:04:36.506  WARNING  core.camera_card_browser  Błąd pobierania IMG_3898.JPG: [-2] Bad parameters
12:04:36.527  WARNING  core.camera_card_browser  Błąd pobierania IMG_3899.JPG: [-2] Bad parameters
12:04:36.548  WARNING  core.camera_card_browser  Błąd pobierania IMG_3900.JPG: [-2] Bad parameters
12:04:36.568  WARNING  core.camera_card_browser  Błąd pobierania IMG_3901.JPG: [-2] Bad parameters
12:04:36.589  WARNING  core.camera_card_browser  Błąd pobierania IMG_3902.JPG: [-2] Bad parameters
12:04:36.609  WARNING  core.camera_card_browser  Błąd pobierania IMG_3903.JPG: [-2] Bad parameters
12:04:36.630  WARNING  core.camera_card_browser  Błąd pobierania IMG_3904.JPG: [-2] Bad parameters
12:04:36.650  WARNING  core.camera_card_browser  Błąd pobierania IMG_3905.JPG: [-2] Bad parameters
12:04:36.671  WARNING  core.camera_card_browser  Błąd pobierania IMG_3906.JPG: [-2] Bad parameters
12:04:36.691  WARNING  core.camera_card_browser  Błąd pobierania IMG_3907.JPG: [-2] Bad parameters
12:04:36.712  WARNING  core.camera_card_browser  Błąd pobierania IMG_3908.JPG: [-2] Bad parameters
12:04:36.732  WARNING  core.camera_card_browser  Błąd pobierania IMG_3909.JPG: [-2] Bad parameters
12:04:36.753  WARNING  core.camera_card_browser  Błąd pobierania IMG_3910.JPG: [-2] Bad parameters
12:04:36.773  WARNING  core.camera_card_browser  Błąd pobierania IMG_3911.JPG: [-2] Bad parameters
12:04:36.842  WARNING  core.camera_card_browser  Błąd pobierania IMG_3912.JPG: [-2] Bad parameters
12:04:36.863  WARNING  core.camera_card_browser  Błąd pobierania IMG_3913.JPG: [-2] Bad parameters
12:04:36.883  WARNING  core.camera_card_browser  Błąd pobierania IMG_3914.JPG: [-2] Bad parameters
12:04:36.904  WARNING  core.camera_card_browser  Błąd pobierania IMG_3915.JPG: [-2] Bad parameters
12:04:36.924  WARNING  core.camera_card_browser  Błąd pobierania IMG_3916.JPG: [-2] Bad parameters
12:04:36.945  WARNING  core.camera_card_browser  Błąd pobierania IMG_3917.JPG: [-2] Bad parameters
12:04:36.966  WARNING  core.camera_card_browser  Błąd pobierania IMG_3918.JPG: [-2] Bad parameters
12:04:36.986  WARNING  core.camera_card_browser  Błąd pobierania IMG_3919.JPG: [-2] Bad parameters
12:04:37.007  WARNING  core.camera_card_browser  Błąd pobierania IMG_3920.JPG: [-2] Bad parameters
12:04:37.028  WARNING  core.camera_card_browser  Błąd pobierania IMG_3921.JPG: [-2] Bad parameters
12:04:37.049  WARNING  core.camera_card_browser  Błąd pobierania IMG_3922.JPG: [-2] Bad parameters
12:04:37.069  WARNING  core.camera_card_browser  Błąd pobierania IMG_3923.JPG: [-2] Bad parameters
12:04:37.090  WARNING  core.camera_card_browser  Błąd pobierania IMG_3924.JPG: [-2] Bad parameters
12:04:37.110  WARNING  core.camera_card_browser  Błąd pobierania IMG_3925.JPG: [-2] Bad parameters
12:04:37.131  WARNING  core.camera_card_browser  Błąd pobierania IMG_3926.JPG: [-2] Bad parameters
12:04:37.151  WARNING  core.camera_card_browser  Błąd pobierania IMG_3927.JPG: [-2] Bad parameters
12:04:37.172  WARNING  core.camera_card_browser  Błąd pobierania IMG_3928.JPG: [-2] Bad parameters
12:04:37.192  WARNING  core.camera_card_browser  Błąd pobierania IMG_3929.JPG: [-2] Bad parameters
12:04:37.212  WARNING  core.camera_card_browser  Błąd pobierania IMG_3930.JPG: [-2] Bad parameters
12:04:37.233  WARNING  core.camera_card_browser  Błąd pobierania IMG_3931.JPG: [-2] Bad parameters
12:04:37.254  WARNING  core.camera_card_browser  Błąd pobierania IMG_3932.JPG: [-2] Bad parameters
12:04:37.274  WARNING  core.camera_card_browser  Błąd pobierania IMG_3933.JPG: [-2] Bad parameters
12:04:37.295  WARNING  core.camera_card_browser  Błąd pobierania IMG_3934.JPG: [-2] Bad parameters
12:04:37.315  WARNING  core.camera_card_browser  Błąd pobierania IMG_3935.JPG: [-2] Bad parameters
12:04:37.336  WARNING  core.camera_card_browser  Błąd pobierania IMG_3936.JPG: [-2] Bad parameters
12:04:37.356  WARNING  core.camera_card_browser  Błąd pobierania IMG_3937.JPG: [-2] Bad parameters
12:04:37.377  WARNING  core.camera_card_browser  Błąd pobierania IMG_3938.JPG: [-2] Bad parameters
12:04:37.389  WARNING  core.camera_probe  CameraProbe connect error: -1
12:04:37.398  WARNING  core.camera_card_browser  Błąd pobierania IMG_3939.JPG: [-2] Bad parameters
12:04:37.418  WARNING  core.camera_card_browser  Błąd pobierania IMG_3940.JPG: [-2] Bad parameters
12:04:37.438  WARNING  core.camera_card_browser  Błąd pobierania IMG_3941.JPG: [-2] Bad parameters
12:04:37.459  WARNING  core.camera_card_browser  Błąd pobierania IMG_3942.JPG: [-2] Bad parameters
12:04:37.480  WARNING  core.camera_card_browser  Błąd pobierania IMG_3943.JPG: [-2] Bad parameters
12:04:37.500  WARNING  core.camera_card_browser  Błąd pobierania IMG_3944.JPG: [-2] Bad parameters
12:04:37.521  WARNING  core.camera_card_browser  Błąd pobierania IMG_3945.JPG: [-2] Bad parameters
12:04:37.541  WARNING  core.camera_card_browser  Błąd pobierania IMG_3946.JPG: [-2] Bad parameters
12:04:37.562  WARNING  core.camera_card_browser  Błąd pobierania IMG_3947.JPG: [-2] Bad parameters
12:04:37.583  WARNING  core.camera_card_browser  Błąd pobierania IMG_3948.JPG: [-2] Bad parameters
12:04:37.603  WARNING  core.camera_card_browser  Błąd pobierania IMG_3949.JPG: [-2] Bad parameters
12:04:37.624  WARNING  core.camera_card_browser  Błąd pobierania IMG_3950.JPG: [-2] Bad parameters
12:04:37.644  WARNING  core.camera_card_browser  Błąd pobierania IMG_3951.JPG: [-2] Bad parameters
12:04:37.667  WARNING  core.camera_card_browser  Błąd pobierania IMG_3952.JPG: [-2] Bad parameters
12:04:37.687  WARNING  core.camera_card_browser  Błąd pobierania IMG_3953.JPG: [-2] Bad parameters
12:04:37.708  WARNING  core.camera_card_browser  Błąd pobierania IMG_3954.JPG: [-2] Bad parameters
12:04:37.728  WARNING  core.camera_card_browser  Błąd pobierania IMG_3955.JPG: [-2] Bad parameters
12:04:37.749  WARNING  core.camera_card_browser  Błąd pobierania IMG_3956.JPG: [-2] Bad parameters
12:04:37.769  WARNING  core.camera_card_browser  Błąd pobierania IMG_3957.JPG: [-2] Bad parameters
12:04:37.790  WARNING  core.camera_card_browser  Błąd pobierania IMG_3958.JPG: [-2] Bad parameters
12:04:37.811  WARNING  core.camera_card_browser  Błąd pobierania IMG_3959.JPG: [-2] Bad parameters
12:04:37.831  WARNING  core.camera_card_browser  Błąd pobierania IMG_3960.JPG: [-2] Bad parameters
12:04:37.852  WARNING  core.camera_card_browser  Błąd pobierania IMG_3961.JPG: [-2] Bad parameters
